incident_id,incident_datetime,latitude,longitude
834060132,02/09/2018 11:57:50 PM,37.42191241205615,-121.91136434683672
834285448,02/15/2018 01:52:34 PM,37.255194258758756,-121.99958853228266
834296061,02/15/2018 03:58:56 PM,37.35228744711068,-121.90433746231483
834623366,02/19/2018 09:29:33 AM,37.351338174761295,-121.900569324459
834964754,02/23/2018 06:38:54 AM,37.317884876707275,-122.0693546723053
835859603,03/03/2018 02:11:10 PM,37.33170066854571,-122.03607218047087
834060271,02/09/2018 05:34:35 PM,37.22228775595038,-121.78075714474872
836348918,03/05/2018 11:49:01 AM,37.32200802102168,-122.00956189683832
836357701,03/05/2018 04:19:59 PM,37.322934079000646,-122.03637351427257
836423914,03/06/2018 08:17:30 AM,37.40970550083551,-121.94408632547773
836610534,03/08/2018 03:17:04 PM,37.33827497751989,-122.00466158971511
836663439,03/09/2018 09:49:34 AM,37.41828751890225,-121.9046494147837
836839898,03/09/2018 06:23:04 PM,37.38296875845002,-121.8268137838456
836908601,03/10/2018 07:24:03 PM,37.31087760944556,-121.93368322047914
836931464,03/11/2018 03:11:12 AM,37.31087760944556,-121.93368322047914
836955488,03/11/2018 02:42:55 PM,37.25814063969101,-122.03002550383378
837956638,03/13/2018 06:17:07 PM,37.084908936573036,-121.60922354038695
838087688,03/14/2018 10:56:29 AM,37.3118220573153,-121.86165815659349
838192995,03/15/2018 02:53:14 PM,37.35228744711068,-121.90433746231483
838270094,03/16/2018 03:54:01 PM,37.35402730048415,-121.90584969614679
838719266,03/21/2018 12:16:24 PM,37.362395301489,-121.81681326239624
839415102,03/26/2018 01:49:57 PM,37.32200802102168,-122.00956189683832
840594314,03/29/2018 12:50:35 PM,37.31682156004108,-122.06279797384028
840828574,03/30/2018 05:41:14 PM,37.31563803377529,-122.04953275950965
840882913,03/31/2018 01:03:27 PM,37.323453184123935,-121.93072584749544
840904443,03/31/2018 09:03:30 PM,37.30366222130053,-122.04677439838629
841564567,04/03/2018 11:09:10 AM,37.33915519573016,-121.89163758337273
841592573,04/03/2018 09:29:31 PM,37.20968179752642,-121.96131294049357
841602206,04/03/2018 10:39:52 PM,37.36339035082428,-121.81528228839615
841756357,04/04/2018 03:40:58 PM,37.2593186893673,-121.93482558225095
841819805,04/05/2018 12:33:33 PM,37.253642673700746,-121.95072924612877
841873112,04/06/2018 03:45:05 AM,37.35228744711068,-121.90433746231483
842035175,04/08/2018 03:14:27 PM,37.36819454324317,-121.82503713403412
842145814,04/09/2018 09:41:20 AM,37.33915519573016,-121.89163758337273
842603542,04/13/2018 11:44:21 AM,37.35317554625402,-121.93735077070755
842603537,04/13/2018 11:52:49 AM,37.33915519573016,-121.89163758337273
